,text
1239,"Detroit is a very disciplined team.  There's a lot of Europeansin Detroit which would make the game fast, so Toronto would haveto slow the game down, which means drawing penalties, as a lastresort anyway.  Toronto will be a good team as soon as they getmore good players.  Toronto is just an average team, Detroit isn'tBallard screwed Toronto when he was owner.  Everyone knows that.and it's going to take time for Toronto to become a real force.I expect Gilmour to be burnt out next year.  He can't pull thewhole team forever."
1241,"I was at a Cincinnati Cyclones game a year ago when the local countrystation sponsored a kazoo giveaway.  After a particularly bad call by theunderexperienced ECHL ref, it was Kazoostorm time down on the ice.  Ithought this was a pathetic display by the fans, but they were rightfullyunhappy."
1246,"Gulp.[Disclaimer:  This opinion is mine and does not represent the views ofFermilab, Universities Research Association, the Department of Energy,or the 49th Ward Regular Science Fiction Organization.] "
1247,This article was probably generated by a buggy news reader.
1248,"What is the deal with life on Mars?  I save the ""face"" and heard associated theories. (which sound thin to me)Are we going back to Mars to look at this face agian?Does anyone buy all the life theories?"
1250,"This is a general question for US readers:How extensive is the playoff coverage down there?  In Canada, it is almostimpossible not to watch a series on TV (ie the only two series I have not hadan opportunity to watch this year are Wash-NYI and Chi-Stl, the latter becauseI'm in the wrong time zone!).  We (in Canada) are basically swamped with coverage, and I wonder how many series/games are televised nationally or evenlocally in the US and how much precedence they take over, say, local news ifthe games go into double-OT.Email me so as not to waste bandwidth, please.  My news feed is kind of slowanyways."
1251,"I think Mark was talking about making it available to people who didn'thave email in the first place.If anybody in the Boston area wants a sci.space feed by honest-to-gosh UUCP(no weird offline malreaders), let me know.  I'll also hand out logins toanyone who wants one, especially the Boston Chapter of NSS (which I keep forgettingto re-attend)."
1252,"[On the issue of 'burning' nuclear wastes using particle beams...]I sometimes wonder if your newsfeed gives you different articles thaneveryone else, Pat.  Just a *few* corrections:1) I never 'defended' 20kHz power, other than as something reasonableto GO LOOK AT.2) I have also never opposed a *research project* into feasibility ofthe spalling reactor approach to 'cleaning' nuclear waste -- I simplydoubt it could be made to work in the Real World (tm), which ought tobecome clear fairly quickly during a research program into feasibility(sort of like what happened to 20 kHz power -- it proved to have adown-side that was too expensive to overcome).I figure 2 things wrong in a single sentence is a high enough faultdensity for even you, Pat.-- ""Insisting on perfect safety is for people who don't have the balls to live in the real world.""   -- Mary Shafer, NASA Ames Dryden"
1257,"UPI Clarinet has just relayed a ""scoop"" from the Toronto Sun(or was that Star?  I like the Star myself ...) that Iron MikeKeenan has come to an agreement with the New York Rangers fornext season.  Interestingly, this comes the day after the TimesSports had an editorial about how the Rangers need their ownPat Riley ... who cares about what happens after next season?gld"
1258,"A few days back someone posted info on a gopher site where you couldsearch for medical graphics, etc.  Could someone please repost or mail mea copy?  I'd greatly appreciate it.  Thanks!Mark"
1260,"	There was apparently a 30 minute special here on the Penguins' season on ABC (WTAE - channel 4), immediately preceding the opening game against the Devils on Sunday.  I only turned it on in time to watch the credits.  If anyone taped it and is willing to let me borrow it to dub it, I would appreciate it.  I would be willing to come pick it up, and I'll return it the next day and buy you a beer.  Please respond via e-mail.  Thanks a lot.	Oh yeah.  Was it any good?						-Billy"
1261,"      If you have the GRASP animation system, then yes, it's quite easy.You simply use GLIB to extract the image (each ""frame"" in a .GL isactually a complete .PCX or .CLP file), then use one of MANY availableutilities to convert it.  If you don't have the GRASP package, I'm afraidI can't help you.  Sorry.     By the way, before you ask, GRASP (GRaphics Animation System forProfessionals) is a commercial product that sells for just over US$300from most mail-order companies I've seen.  And no, I don't have it.  :)                                                 Corey Webb "
1262,Well what do you expect...Burns was playing him with Krushelnyskiand Baumgartner...Anderson is a finisher...unless you play him withsomeone to can get him the puck in a finishing position...he ain'tgoing to do much scoring!
1263,"Just to inform the readers of newsrc Sony has just introduced a new DATman,the TCD-D7 which is smaller and less expensive than the D3.  Also, the D7has a coaxial jack which the D3 lacks.  Oh, the D3 has always beenavailable through mail-order houses for less than $700 dollars new... withthe new model coming out, I suspect the now obsolete D3 will be selling for even less.   "
1264,"I saw a mask once that had drawings of band-aids, presumably for every puckthat goalie stopped with his face/head.  I can't remember who it was or evenif it was NHL (I see quite a few AHL games here).This is by far the funniest mask I've seen, and for me funny=cool"
1269,The Apollo program cost something like $25 billion at a time whenthe value of a dollar was worth more than it is now. No one would take the offer.
1270,Maybe I should point out that we are not talking about c.s.amiga.*.Only comp.graphics.
1271,"do not pay $40 for floppy drives.. they are about $40 new.also, you do not need documentation for floppies. installationfor these things are idiot proof. just some advice.."
1273,": Has anyone ever heard of a food product called ""Space Food Sticks?"" I remember those awful things.  They were dry and crumbly, and Irecall asking my third-grade teacher, Miss G'Francisco, how theykept the crumbs from floating around in zero-G.  She had no clue.I have not seen anything like them in today's space program.Some Apollo technology is best forgotten.-- Ken Jenks, NASA/JSC/GM2, Space Shuttle Program Office      kjenks@gothamcity.jsc.nasa.gov  (713) 483-4368"
1274,ofA transporter operator!?!?  That better be one important transport.  Usually  it is a nameless ensign who does the job.  For such a guest appearance I would  have expected a more visible/meaningful role.------------------------------------------------------------------------
1275,If life were so simple!  Savard has not played in three of the last four games and they are still playing like crap.  Montreal's problemsrun deeper than Savard (and Mouton) unfortunately; I hope they canget their act together before the playoffs.The line-up in their game coming up against PittsburgH is said to bethe one they're likely to use for the playoffs.  Let's hope they canforget about the nice weather we're having and play hockey.
1277,"I am working on a program to display 3d wireframe models with the userbeing able to arbitrarily change any of the viewing parameters.  Also,the wireframe objects are also going to have dynamic attributes sothat they can move around while the user is ""exploring"" the wireframeworld.To do this, I am thinking of using the SRGP package described in theVan Dam, Foley and Feiner book, but I was wondering if there wasanother PD graphics package out there which was faster.  I would liketo make the program as fast as possible so that it providessatisfactory real time performance on a Sun IPX.Ideally, I'm looking for a PD graphics package which will allow me toopen a new window under X, and allow me to draw lines within thewindow.  Also, it would also need to have some sort of event driveninteraction handling since the user is going to move around thewireframe models using the keyboard.If you know or wrote such a package, I would be grateful if you coulddirect me to a ftp site which contains the package.Thank you."
1278,"I've just read Richard Langley's latest ""Navstar GPS Constellation Status"".It states that the latest satellite was placed in Orbit Plane Position C-3.There is already one satellite in that position. I know that it's almostten years since that satellite was launched but it's still in operation sowhy not use it until it goes off?Why not instead place the new satellite at B-4 since that position is emptyand by this measure have an almost complete GPS-constellation(23 out of 24)?/Thomas================================================================================Ericsson Telecom, Stockholm, Sweden"
1282,"+At one time there was speculation that the first spacewalk +(Alexei Leonov ?) was a staged fake.++Has any evidence to support or contradict this claim emerged ?++Was this claim perhaps another fevered Cold War hallucination ?I, for one, would be an avid reader of a sci.space.ussr.what.really.happened."
1283,"Does anybody know what Delaunay Triangulation is?Is there any reference to it? Is it useful for creating 3-D objects? If yes, what's the advantage?Thanks in advance."
1284,"I was wondering if the FAQ files could be posted quarterly rather than monthly.  Every 28-30 days, I get this bloated feeling. "
1285,"   >	If the  new  Kuiper belt object *is*  called 'Karla', the next   >one  should be called 'Smiley'.   Unless I'm imaging things, (always a possibility =) 1992 QB1, the Kuiper Belt   object discovered last year, is known as Smiley.As it happens the _second_ one is Karla. The first one wasSmiley. All subject to the vagaries of the IAU of course,but I think they might let this one slide...*  Steinn Sigurdsson   			Lick Observatory      	          **  steinly@lick.ucsc.edu		""standard disclaimer""  	          **  ""The worst thing you can say to a true revolutionary is that his 	  **  revolution is unnecessary, that the problems can be corrected without  **  radical change. Telling people that paradise can be attained without   **  revolution is treason of the vilest kind.""  -- H.S. 1993		  * "
1286,"I think this is a little inaccurate, based on Feynman's account of thesoftware-development process *before* the standdown.  Fred is basicallycorrect:  no sophisticated tools, just a lot of effort and painstakingcare.  But they got this one right *before* Challenger; Feynman citedthe software people as exemplary compared to the engine people.  (Healso noted that the software people were starting to feel managementpressure to cut corners, but hadn't had to give in to it much yet.)Among other things, the software people worked very hard to get thingsright for the major pre-flight simulations, and considered a failureduring those simulations to be nearly as bad as an in-flight failure.As a result, the number of major-simulation failures could be countedon one hand, and the number of in-flight failures was zero.As Fred mentioned elsewhere, this applies only to the flight software.Software that runs experiments is typically mostly put together by theexperimenters, and gets nowhere near the same level of Tender Loving Care.(None of the experimenters could afford it.)"
1287,"No. I estimate a 99 % probability the Gehrels referred tois Thomas Gehrels of the Spacewatch project, Kitt Peak observatory.Maybe in the 24th century they could do gamma ray spectroscopy ondistant asteroids with an orbiting observatory, but here in theprimitive 20th we have to send a probe there to get gamma rayspectroscopy done.You have the info on Mayan Television yet?"
1288,"Boy, this will be embarassing if it is trivial or an FAQ:Given 4 points (non coplanar), how does one find the sphere, that is,center and radius, exactly fitting those points?  I know how to do itfor a circle (from 3 points), but do not immediately see a straightforward way to do it in 3-D.  I have checked somegeometry books, Graphics Gems, and Farin, but am still at a loss?Please have mercy on me and provide the solution?  Thanks,Ed"
1289,"Besides this was the same line of horse puckey the mining companies claimedwhen they were told to pay for  restoring land  after strip mining.they still mine coal in the midwest,  but now it doesn't look likethe moon when theyare done."
1290,"From where I come from in Canada, Borshevsky sounds more Canadian thanSmith! -)Anyways, crawl back into the hole you crawled out of...the NBA doesn'tcare where they get basketball players from, major league baseballdoesn't give a damn where they get baseball players from (except Cuba,that is).Canada is in no imminent danger of being overtaken as the primary supplier of players...Sweden, Finland, the Czech Republic, and Slovakiaare all relatively small countries, and cannot really produce playersat a greater rate than they are already producing them, and thepotential influx from the former Soviet Union is severely bluntedbecause the system has been raided and is starved for finances andwill take a decade or two, to recover and become a real threat, andthe US will just maintain its slow increase.  Canada should continueto supply 60% plus of the top hockey players in the world for theforseeable future.Besides we need the European hockey market if hockey is to takeits rightful place besides soccer as the two predominant worldsports...and since soccer is essentially boring, unlike hockey.Canadians are under no threat...the European numbers will soon saturate,if they haven't already...and by the time Russia comes online again,the NHL should be a world league, and there will be many more teamsto stock and many more jobs for Canadian hockey players.  In the nearteam, the percentage of Canadians will mostly decline because of Americans, not because of Europeans.Crawl into a hole and die...   "
1291,Major league baseball has told the Blue Jays and the Expos not tosign Oscar Linares (I think that is his name)...Canada does not have the restrictions againstCubans that the US has and other major league teams have told theCanadian teams that they would be very unhappy if the Expos or theBlue Jays would do this.  Cubans players would not have to defectto play in Canada and could play the 81 home games for the Exposand Blue Jays without any trouble.
1292,"Hi,I'm interested in writing a program to generate a SIRD picture, you knowthe stereogram where you cross your eyes and the picture becomes 3D.Does anyone have one or know where I can get one?Please e-mail to steveq@sndcrft.DIALix.oz.au with any replies.Many thanks for your help."
1293,The only ether I see here is the stuff you musthave been breathing before you posted...
1294,"  My poor old physics intuition will be very surprised if these tiny masses, sitting very close to Jupiter, play any role whatsoever in the problem.   Or, to put it more technically, the extra ""volume"" they add to the phase space of possible capture trajectories is negligible.  Jupiter is 2E27 kg, while the Galilean satellites are around 1E23.  Also, as I said, the few references that I've looked at do not mention outgassing or breakup as important processes.  The important thing is a Jupiter-Sun-comet ""reverse slingshot"" that leads to a weakly Jupiter-bound orbit for the comet (at least a temporary one)."
1297,"Wanted:  color monitor >= 14""  suitable for use on a MacintoshCentris 610.  I am planning on purchasing one of these machinessoon and don't want to have to pay full price for a new monitorwhen a used one will do me just as well.  If you have one you'dlike to part with, please email me with the specs and price.Thanks."
1298,"  CH> Concerning the proposed newsgroup split, I personally am not in  CH> favor of doing this.  I learn an awful lot about all aspects of  CH> graphics by reading this group, from code to hardware to  CH> algorithms.  I just think making 5 different groups out of this  CH> is a wate, and will only result in a few posts a week per group.  CH> I kind of like the convenience of having one big forum for  CH> discussing all aspects of graphics.  Anyone else feel this way?  CH> Just curious.I must agree.  There is a dizzying number of c.s.amiga.* newsgroupsalready.  In addition, there are very few issues which fall cleanlyinto one of these categories.Also, it is readily observable that the current spectrum of amigagroups is already plagued with mega-crossposting; thus the group-splitwould not, in all likelihood, bring about a more structuredenvironment."
1299,"Gotta pay my WELL bill - eating is of mere passing interest incomparison.KAWAI K-4 Synthesizer for $400 IF YOU ACT NOW - cash only pleeze,take delivery in Berkeley. CALL (510) 287-5737 and leave nameand number for me to call back and arrange this MARVELOUS FEAST.OFFER EXPIRES SOON (how soon? Soon - believe it.)ACT NOW."
1301,"   >Does anyone know how to size cold gas roll control thruster tanks   >for sounding rockets?   Well, first you work out how much cold gas you need, then make the   tanks big enough.Our sounding rocket payload, with telemetry, guidance, etc. etc. and atelescope cluster, weighs around 1100 pounds.  It uses freon jets forsteering and a pulse-width-modulated controller for alignment (ieduring our eight minutes in space, the jets are pretty muchcontinuously firing on a ~10% duty cycle or so...).  The jets alsoneed to kill residual angular momentum from the spin stabilization, andflip the payload around to look at the Sun.We have two freon tanks, each holding ~5 liters of freon (I'm speakingonly from memory of the last flight).  The ground crew at WSMR choose howmuch freon to use based on some black-magic algorithm.  They haveextra tank modules that just bolt into the payload stack.This should give you an idea of the order of magnitude for cold gas quantity.  If you really need to know, send me email and I'll try to get youin touch with our ground crew people.Cheers,Craig"
1303,"Yes, I did punch in the wrong numbers (working too many late nites).  Iintended on stating 640x400 is 256,000 bytes.  It's not in the bios, just myVESA TSR."
1304,"I posted my public-domain MSDOS program ""sunlight.zip"" to ""sci.astro"" yesterday.It easily locates the sun, moon, and planets, and can also be used tolocate other objects if you input their Right Ascesion and Declination.Use ""uudecode"" to extract.--           Robert Sheaffer - Scepticus Maximus - sheaffer@netcom.com   Past Chairman, The Bay Area Skeptics - for whom I speak only when authorized!         ""Marxism and feminism are one and that one is Marxism"""
1305,POSTING FOR A FRIEND- I do not have these tickets.	Interested parties can call John at (408) 522-1904 for more	information.  There are three lift tickets and they are good        for anytime this season at Squaw Valley ski resort.
1306,"Hmmm. I seem to recall that the attraction of solid state record-players and radios in the 1960s wasn't better performance but lowerper-unit cost than vacuum-tube systems.	Mind you, my father was a vacuum-tube fan in the 60s (Switchedto solid-state in the mid-seventies and then abruptly died; no doubtthere's a lesson in that) and his account could have been biased."
1307,"Ok, it seems that everyone else in canada was treated to the REAL ABC telecast while only the people on ROGERS TV in Surrey BC were treated to two channels with Don ""I stink as a Commentator"" Whitmandoing the play-by-play."
1308,"/>/>I always thought GD's  Fighter plants were in Long Island.  />/No, Northrup has a plant on Long Island.I don't think Northrup ever had a plant on Long Island.  The two main airframemanufacturers there were (Fairchild)/Republic which closed its doors after theT-46 cancellation, and Grumman (which is still hanging on last I time I called).I think Sperry also started there.  If you're ever in the area check out theCradle of Aviation Museum at Mitchell field (now mostly parking lots behind theNassau Coliseum and the community college).  Good display of vehicles from LongIsland, including a LEM flight article."
1309,The chemicals are gone Thanks for all the response
1310,"The current mining regulations and fees were set in the 1800's!What the so-called ""eco-freaks"" want to do is to simply bring thosefees in line with current economic reality.  Currently, mining companiescan get access to minerals on public lands for ridiculously low prices --something like $50!  The mining lobby has for decades managed to blockany reform of these outdated fees.  In fact, the latest attempt to reformthem was again blocked -- President Clinton ""compromised"" by taking themining fee reforms out of his '94 budget, and plans to draft separatelegislation to fight that battle.If you want to discuss this further, I suggest you take this to talk.environment."
1312,"Hello,    I've recently had Povray draw about 10 sample files. The problem is thatI accidently erased the command in my povray.def that made the image a targasfile. So now the files are the dump format. How do I fix these files with outhaving to re-trace them? By fix I mean, turn them into targas. Thanks inadvance.                                                -Jerry"
1313,"Likewise for me please. First time I've hear of it, but I've beem lookingfor something like this for the past few months."
1314,"OpenGL is a graphics programming library and as such is a great, portableinterface for the development of interactive 3D graphics applications. Itis not, however, an indicator of performance, as that will vary stronglyfrom machine to machine and vendor to vendor.  SGI is committed to highperformance interactive graphics systems and software tools, so OpenGLmeans that you can port easily from SGI to other platforms, there is noguarantee that your performance would be comparable.If your sales representative truly mislead you, then you should have avalid grievance against us which you should carry up to your local SGIsales management team. Feel free to contact the local branch manager...weunderstand that repeat sales come from satisfied customers, so give it ashot.As one of the previous posts stated, the Personal IRIS was introduced in1988 and grew to include the 4D/20, 4D/25, 4D/30 and 4D/35 as clock ratessped up over time. As a rule of thumb, SGI platforms live for about 4-5years. This was true of the motorola-based 3000 series ('85-'89), the PI('88-'93), the Professional Series (the early 4D's - '86-'90), the PowerSeries parallel systems ('88-'93). Individual CPU subsystems running at aparticular clock rate usually live for about 2 years. New graphicsarchitectures at the high end (GT, VGX, RealityEngine) are released every18 months to 2 years.These are the facts of life.  If we look at these machines, they becomealmost archaic after four years, and we have to come out with a newplatform (like Indigo, Onyx, Challenge) which has higher bus bandwidths,faster CPUs, faster graphics and I/O, and larger disk capacities. If wedon't, we become uncompetitive.From the user perspective, you have to buy a machine that meets yourcurrent needs and makes economic sense today.  You can't wait to buy, butif you need a guaranteed upgrade path for the machine, ask the Sales Repfor one in writing. If it's feasible, they should be able to do that. Someof our upgrade paths have specific programs associated with them, such asthe Performance Protection Program for older R3000-based Power Seriesmultiprocessing systems which allowed purchasers of those systems to obtaina guaranteed upgrade price for moving to the new Onyx or ChallengeR4400-based 64-bit multiprocessor systems.If that's happening, it's becausing of misunderstandings ormis-communication, not because SGI is directly attempting to annoy ourcustomer base.Most SGI customers are onesy-twosey types, but regardless, we rarely give agreat deal of notice when we are about to introduce a new system becauseagain, like a previous post stated, if we pre-announced and the scheduleslipped, we would mess up our potential customers schedules (when they werecounting on the availability of the new systems on a particular date) andwould also look awfully bad to both our investors and the financialanalysts who watch us most carefully to see if we are meeting ourcommitments.Five years is an awfully long time in computer years. New processortechnologies are arriving every 1-2 years, making a 5 year old computer atleast 2 and probably 3 generations behind the times. The competitive natureof the market is demanding that rate of development, so if your timing isreally 5 years between purchases, you have to accept the limited viabilityof whatever architecture you buy into from any vendor.There are some realities about the computer biz that we all have to livewith, but keeping customers happy is the most important, so don't give up,we know it.Josh   |:-)-- "
1315,We need a good concave ->convex polygon conversion routine.I've tried a couple without much luck.  Please E-mail responses and Iwill post a summary of any replies.  Thank you.
1316,"No problem, no offence taken ...It is sad, just as a lover of the sport, that this team can be inthe metro New York area for over a decade and still exist as justa non-entity ...We're getting the Sabres-Bruins as the replacement game (and probablyso are you) while the Devils-Penguins game is played on SCNY and theIslanders-Caps are the overflow game on the SCA (SCNY Plus).  If theSabres-Bruins ends early then we'll go to the Devils-Penguins game(assuming that ESPN follows their previous patterns; we got the lastminute of the Islanders-Rangers and all of the overtime two weeksago).  ESPN's coverage started last night, by accident, but as oneor more other writers have pointed out, they could've gone to wildhog wrestling for the evening instead ...gld"
1317,"-> According to the TIFF 5.0 Specification, the TIFF ""version number""-> (bytes 2-3) 42 has been chosen for its ""deep philosophical -> significance"".-> Last week, I read the Hitchhikers Guide To The Galaxy, and rotfl the-> second time. (After millions of years of calculation, the second-best-> computer of all time reveals that 42 is the answer to the question-> about life, the universe and everything)-> Is this actually how they picked the number 42?-> Does anyone have any  other suggestions where the 42 came from?   At this moment the King, who had been for some time busily writing inhis note-book, called out ""Silence!"" and read out from his book""Rule Forty-two. All persons more than a mile high to leave the court.""   Everybody looked at Alice.   ""I'm not a mile high,"" said Alice.   ""You are,"" said the King.   ""Nearly two miles high,"" added the queen.   ""Well, I sha'n't go, at any rate,"" said Alice; ""besides, that's nota regular rule: you invented it just now.""   ""It's the oldest rule in the book,"" said the King.   ""Then it ought to be Number One,"" said Alice."
1318,"[Excellent discussion of DC-X landing techniques by Henry deleted]The DC-X will not take of horizontally.  It takes of vertically. For several reasons.  Vertical landings don't require miles of runway and limitnoise pollution.  They don't require wheels or wings.  Just turn on the enginesand touch down.  Of course, as Henry pointed out, vetical landings aren't quitethat simple.Well, to be blunt, yes.  But at least you're learning.The Soyuz vehicles use parachutes for the descent and then fire small rocketsjust before they hit the ground.  Parachutes are, however, not especiallypractical if you want to reuse something without much effort.  The landingsare also not very comfortable.  However, in the words of Georgy Grechko,""I prefer to have bruises, not to sink."""
1319,Damn!  So it was YOU who was drinking beer with ROBERT McELWANE in the PARKINGLOT of the K-MART!				UNLIMITED INSEMINATION OF THIS MESSAGE					RIGIDLY REFUSED
1320,"    While I don't mean to damn Henrik's attempt to be helpful here,he's using a common misconception that should be corrected.    Mach banding will occur for any image.  It is not the colorquantization you see when you don't have enough bits.  It is thehuman eye's response to transitions or edges between intensities.The result is that colors near the transistion look brighter onthe brighter side and darker on the darker side.--Andre"
1321,"I have 2 foot switches for sale.  They're great for guitaramps, and keyboards.  Each is about 1"" in diameter with a 6' (or so)cable.  I'd like $15 for both, but make me an offer, who knows...-Jason"
1323,"Sorry, Nelson, but you forgot to ask me. If you check the THN stats forKansas City, you'll find that Larry has been playing for the games, havingplayed in 8 games in the period covered in the stats between 3/26 and the4/16 issue (1-3-4 with 13 PIM). Not exactly invisible.Well, having gotten to a chance to talk to him a few times, this isn't quiteaccurate. He injured his back (a disk injury) and did one stupid thing,which was to hide it from the Sharks and he tried to play through it becausehe knew he was on the bubble. The Sharks then sent him to K.C., at whichpoint he disclosed the injury. Since he didn't disclose it, the Sharks andhe disagreed about the responsibility and he was suspended for notreporting. That was eventually worked out, the Sharks re-instated him asinjured and put him into therapy, and when he was able to play then shippedhim down to K.C. He fully expects to play in the NHL again, although clearlynot with the Sharks (hiding injuries is a stupid no-no, beyond just ano-no).Very nice guy. Always hustled his butt off. He disappeared because he washurt. I expect he'll surface with another team at some point (probablyanother expansion team), but is likely to be a bubble player for the rest ofhis career. Has a good work ethic and is good at getting other playersmotivated. Unfortunately, he played himself out of the Sharks future with abad judgement call.Always gave 110%, best work ethic on the club (except maybe Kisio), buthustle isn't always enough. His future with the Sharks was made clear to meone night against the Flames when he went behind the crease and tried tohold Joel Otto against the board. He literally had one arm around Otto'sneck and another wrapped around Otto's stick arm. Otto casually turnedaround and fed the puck in front of the crease for a goal, as though Carterwasn't there. Hustle can only cover size so far.The Sharks have told me, point blank, that he's gone for good (ditto HUbieMcDonough). He was one of the favorites of the staff, but as one said to me""you have to make room for the kids"". Carter, in fact, refused to report toK.C. and has been suspended by the Sharks. That might be a defactoretirement, but I haven't heard anything official. His only hope in hockeynow is the Gulls.Because, at least from the games I saw him in, he was outmatched and lookedfairly lost on the ice. I think he shows potential, but I didn't think hewas quite ready to make the jump to the NHL.Agreed (BTW, I still think a lot of your grades are more based on how youwish they'd performed than how they actually performed. I wonder whether youcan really judge talent from radio and television, Nelson? I know I havetrouble, since you don't see the off-puck action. your views from home andmy views from the ice differ in numerous ways)Coffee. Coffey is with the Red Wings.You? Nah... He was seriously unimpressive, even as a tough guy (his rep). However, asfew games as he had in a season that was at that point meaningless, I hateto judge the talent too quickly. Butn in Dody's case, I""m tempted to make anexception.But I won't."
1324,"Hi to all.Since all of you could also be a seller as well as a buyer, I'd like to bringthis issue for discussion - what would be the best solution in case a deal became a lemon?As I understand most people selling things over the net do not grant a warranty,I am in such a situation that the seller did not state whether a warranty would be granted or not and the item I received is out of order. The seller insistedthat it was 'in good condition' when he sent it and so would just return half ofthe amount that I paid if I send the item back to him and after he is sured itis bad. Is this reasonable?Basically I would like to believe the seller tells the truth. Also, I am positively to say that I've not done anything wrong which might cause the failure of the thing. My assumption here is everyone is honest - so rule out the possibility that either one of the two parties or both are liars.I would like to hear your opinion - either in here or directly respond to mye-mail address.I know there is such a risk that you could lose money. But, how can we make itenjoyable to most people and not wasting the bandwidth?"
1325,"First, I enjoyed reading your post.  Second, I disagree with the Pen's weakspot being defense and goaltending - for a couple of reasons.  Barrasso hashad a spectacular year - no slow start, consistently sharp, GAA < 3.0, and leads the league in wins.  Tommy deserves the Vezina.  Given the lack of respect he commands, though, I doubt he will win it.  The other reason concerns the Pens' team defense.  They are hovering around 3rd or 4th in thefewest goals allowed.  That is a big improvement for them, and it indicatesthat they are playing better team defense.We'll see.  It'll be fun."
1326,"Does anyone have any Russian Contacts (Space or other) or contacts in the oldUSSR/SU or Eastern Europe?Post them here so we all can talk to them and ask questions..I think the cost of email is high, so we would have to  keep the content tospecific topics and such..Basically if we want to save Russia and such, then we need to make contacts,contacts are a form of info, so lets get informing.==Michael Adams, nsmca@acad3.alaska.edu -- I'm not high, just jacked"
1328,There is a guy in NASA Johnson Space Center  that might answer your question. I do not have his name right now but if you follow up I can dig that out for you.C.O.Egalon@larc.nasa.gov
1330,You forget that Apollo was a Government program and had to start relatively from scratch. Some people at NASA think that this could work. One of them replied to me personally after I posted this original message several days ago. I have heard Jerry Pournelle suggest this idea before.
1331,"===I aint talking the large or even the ""mining companies"" I am talking the smallminers, the people who have themselves and a few employees (if at all).Thepeople who go out every year and set up thier sluice box, and such and domining the semi-old fashion way.. (okay they use modern methods toa point).I am talking the guy who coem to Nome evry year, sets up his tent on the beach(the beach was washed away last year) and sets up his/her sluice box and goesat it ""mining"".I know the large corps, such as Alaska Gold Company, might complain to..My opinions are what I learn at the local BS table..My original thing/idea was that the way to get space mining was to allow theeco-freaks thier way.. As they have done with other mineral development.You can't in many places can't go to the bathroom in the woods without someform of regulation covering it.. "
1332,"Don't get too excited; Signetics, not Motorola, gave the 68070 its number.The 68070, if I understand rightly, uses the 68000 instruction set, and hasan on-chip serial port and DMA.  (It will run at up to 15 MHz--I'm typingat a computer using a 68070 running at that rate, so I know that it cando so--so I seriously doubt the clock rate that ricardo@rchland.vnet.ibm.comclaims.)"
1333,Saku isn't that small any longer I guess I heard he is 177cm tall at themoment and will still grow 6-8cm.
1335,"Phil> Didn't one of the early jet fighters have these?  I also thinkPhil> the germans did some work on these in WWII.The NACA came up with them before World War II.  NASA is directlydescended from the NACA, with space added in.You'll notice that I didn't mention sweep wings even though theX-5, tested at what's now Dryden, had them.  We did steal that onedirctly from the Germans.  The difference is that swept wings don'tchange their angle of sweep, sweep wings do.  Perhaps the similarityof names has caused some confusion?  747s have swept wings, F-111shave sweep wings.Phil> A lot of this was also done by the military...After NASA aerodynamicists proposed them and NASA test teamsdemonstrated them.  Richard Whitcomb and R.T. Jones, at LangleyResearch Center, were giants in the field.Dryden was involved in the flight testing of winglets and arearuling (in the 70s and 50s, respectively).  It's true that weused military aircraft as the testbeds (KC-135 and YF-102) butthat had more to do with availability and need than with militaryinvolvement.  The YF-102 was completely ours and the KC-135 wasbailed to us.  The Air Force, of course, was interested in ourresults and supportive of our efforts.Dryden flew the first digital fly by wire aircraft in the 70s. Nomechnaical or analog backup, to show you how confident we were.General Dynamics decided to make the F-16 flyby-wire when they saw howsuccessful we were.  (Mind you, the Avro Arrow and the X-15 were bothfly-by-wire aircraft much earlier, but analog.)Phil> Egad! I'm disagreeing with Mary Shafer!  The NASA habit of acquiring second-hand military aircraft and usingthem for testbeds can make things kind of confusing.  On the otherhand, all those second-hand Navy planes give our test pilots a chanceto fold the wings--something most pilots at Edwards Air Force Basecan't do."
